customer,Arrival t,Service t,service begins,service ends,Idle t,Waiting t in queue,t in system,avg queue,avg idle
741,255.78645657484088,0.054692297675891045,255.79406480230966,255.84875709998556,0.0,0.007608227468779205,0.06230052514467843,0.7000803502383194,0.23815805410379684
742,255.90495551221719,0.07093152941883035,255.90495551221719,255.975887041636,0.05619841223162325,0.0,0.07093152941883035,0.7000803502383194,0.23815805410379684
743,256.0681962142372,0.13134990770445792,256.0681962142372,256.1995461219417,0.09230917260120464,0.0,0.13134990770445792,0.7000803502383194,0.23815805410379684
744,256.1298032433032,0.16716568691772507,256.1995461219417,256.3667118088594,0.0,0.06974287863852169,0.2369085655562344,0.7000803502383194,0.23815805410379684
745,256.3777514395162,0.3165772169408205,256.3777514395162,256.694328656457,0.011039630656796362,0.0,0.3165772169408205,0.7000803502383194,0.23815805410379684
746,256.41686978182014,0.17090091670245258,256.694328656457,256.86522957315947,0.0,0.2774588746368636,0.44835979133932824,0.7000803502383194,0.23815805410379684
747,256.5935232137619,0.01163676338779293,256.86522957315947,256.87686633654727,0.0,0.2717063593975695,0.283343122785368,0.7000803502383194,0.23815805410379684
748,257.4000320901256,0.05052897124841325,257.4000320901256,257.450561061374,0.5231657535783256,0.0,0.05052897124841325,0.7000803502383194,0.23815805410379684
749,257.4705970555145,0.3785246275534713,257.4705970555145,257.84912168306795,0.020035994140471303,0.0,0.3785246275534713,0.7000803502383194,0.23815805410379684
750,257.52046951713874,0.2181473537515547,257.84912168306795,258.0672690368195,0.0,0.3286521659292134,0.5467995196807465,0.7000803502383194,0.23815805410379684
751,257.93229847287955,0.23712274237723718,258.0672690368195,258.3043917791967,0.0,0.13497056393993034,0.3720933063171401,0.7000803502383194,0.23815805410379684
752,258.15671702942603,0.029216980419039373,258.3043917791967,258.33360875961574,0.0,0.1476747497706583,0.17689173018970905,0.7000803502383194,0.23815805410379684
753,258.60224890902055,0.10903851298094781,258.60224890902055,258.7112874220015,0.26864014940480274,0.0,0.10903851298094781,0.7000803502383194,0.23815805410379684
754,258.687456880253,0.715433191485198,258.7112874220015,259.4267206134867,0.0,0.02383054174845256,0.7392637332336562,0.7000803502383194,0.23815805410379684
755,258.74452038929104,0.3167687004759584,259.4267206134867,259.74348931396264,0.0,0.6822002241956397,0.9989689246716011,0.7000803502383194,0.23815805410379684
756,258.9178351987046,0.10232193697337927,259.74348931396264,259.84581125093604,0.0,0.8256541152580326,0.9279760522314291,0.7000803502383194,0.23815805410379684
757,258.93750058471835,0.3220595731911156,259.84581125093604,260.16787082412714,0.0,0.9083106662176874,1.230370239408785,0.7000803502383194,0.23815805410379684
758,259.0109850768276,0.060682055857840984,260.16787082412714,260.228552879985,0.0,1.1568857472995546,1.217567803157408,0.7000803502383194,0.23815805410379684
759,259.0476409349612,0.0517684523067583,260.228552879985,260.28032133229175,0.0,1.1809119450238086,1.2326803973305687,0.7000803502383194,0.23815805410379684
760,260.3120084260359,0.14849863466807245,260.3120084260359,260.46050706070395,0.03168709374415357,0.0,0.14849863466807245,0.7000803502383194,0.23815805410379684
761,260.33635510358175,0.10691376196401439,260.46050706070395,260.56742082266794,0.0,0.12415195712219429,0.2310657190861889,0.7000803502383194,0.23815805410379684
762,261.55202958339817,0.07734138007388638,261.55202958339817,261.62937096347207,0.9846087607302252,0.0,0.07734138007388638,0.7000803502383194,0.23815805410379684
763,263.23983502481553,1.49981615456058,263.23983502481553,264.7396511793761,1.610464061343464,0.0,1.49981615456058,0.7000803502383194,0.23815805410379684
764,263.36535728662886,0.25276287685209575,264.7396511793761,264.9924140562282,0.0,1.3742938927472323,1.627056769599335,0.7000803502383194,0.23815805410379684
765,263.77440181502277,0.19513692978799901,264.9924140562282,265.1875509860162,0.0,1.2180122412054288,1.4131491709934494,0.7000803502383194,0.23815805410379684
766,264.10224964923447,0.050599115131579754,265.1875509860162,265.2381501011478,0.0,1.085301336781754,1.1359004519133578,0.7000803502383194,0.23815805410379684
767,264.1445332216104,0.2408584297023135,265.2381501011478,265.47900853085014,0.0,1.0936168795374215,1.3344753092397355,0.7000803502383194,0.23815805410379684
768,265.14563779973963,0.06150421884438066,265.47900853085014,265.5405127496945,0.0,0.33337073111050586,0.3948749499548967,0.7000803502383194,0.23815805410379684
769,265.9676553038641,0.02666332009554583,265.9676553038641,265.99431862395966,0.4271425541695635,0.0,0.02666332009554583,0.7000803502383194,0.23815805410379684
